	Kingdom	Phylum	Class	Order	Family	Genus	Species
ede684fe9fbe6404a21995c912a5862b	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Qipengyuania	Unclassified
1ef7760633e6707bb1e72979237e4977	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	Unclassified
1acd251441bd60c71548bb59d96ecd84	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	MND1	Unclassified
29a493e455f0a267a212753baf3d62dc	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales	Kapabacteriales	Kapabacteriales	uncultured_soil
3c10060a1f1abf0339475ac13176f647	Bacteria	Acidobacteriota	Acidobacteriae	Subgroup_2	Subgroup_2	Subgroup_2	Unclassified
1e7808d3462d49317c9bcbe880a8cbb3	Bacteria	Acidobacteriota	Blastocatellia	Blastocatellales	Blastocatellaceae	Stenotrophobacter	Unclassified
65e8e822f43561c75e846d1d8e55bcde	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinoallomurus	Actinoallomurus_sp.
5f0927bf984f286d11de39a8867c2ac7	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Mucilaginibacter	Unclassified
55d294613e5145693b358304624e61ab	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Microvirga	Unclassified
1bf28b748e78c1e80fc6df716c119bf6	Bacteria	Desulfobacterota	Desulfuromonadia	Geobacterales	Geobacteraceae	Geobacter	Unclassified
a9164d01308501b576afa06256a15b0f	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	Unclassified
882f2ef5206c64bb3f87e43cd5a95d16	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	uncultured	Unclassified
686f4840fd7c2c1b04e156ec6adf7001	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	uncultured	Unclassified
f225f4154c951ebb42b3bc1dfc33c247	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	metagenome
5a34439e888f43f348e39a55c7cf4da6	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	Unclassified
5912c4200720f1e7eb20a1d18f23226b	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Lysobacter	uncultured_Thermomonas
41a0a82f68092a93ce6da7ebb7a1a105	Bacteria	GAL15	GAL15	GAL15	GAL15	GAL15	Unclassified
eff0e1ae94b7b740a6870b6f62b9d378	Bacteria	Actinobacteriota	Acidimicrobiia	IMCC26256	IMCC26256	IMCC26256	Unclassified
7fd7bfc985e0f7495f1a9bb40bc44dcf	Bacteria	Planctomycetota	Planctomycetes	Isosphaerales	Isosphaeraceae	Singulisphaera	uncultured_bacterium
dc8a1ae9fbc1d646d818a65416f52072	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter	Unclassified
11105a5310eaf60f65c0dfaffe6d0812	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	uncultured	Unclassified
fa2882d38741b9308bbe30fe00135c1e	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	Unclassified
76f85e21debefb055f84583a32efae0f	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Opitutaceae	Opitutus	Unclassified
9934a7582a361cb1a76e690aa094bdd1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	uncultured_Sphingomonadaceae
b4b55462fc87503bdabeb19518353ef9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amaricoccus	Unclassified
d9875087f8e1729d025b0182f84f1d4f	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	bacterium_Ellin6517
de6e1899ed8f2b53e49f838b5218ddcc	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Terrimonas	Unclassified
21e83cdec7911305a6f580b1d25495b0	Bacteria	Armatimonadota	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas	uncultured_bacterium
a0398bf51b38e9ad4dbf5249e001f04a	Bacteria	Nitrospirota	Nitrospiria	Nitrospirales	Nitrospiraceae	Nitrospira	Unclassified
fee53803e267c559bb2b4ab731544351	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	JG30-KF-AS9	JG30-KF-AS9	Unclassified
a7d920a1d00f4a2ddb7bb23806d92a8f	Bacteria	Planctomycetota	Phycisphaerae	Tepidisphaerales	WD2101_soil_group	WD2101_soil_group	uncultured_bacterium
59cb53a2f88a5cec21f9edbbc1d2b92c	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Reyranella	Unclassified
9764767233c1b1ea3dc4932b94be8512	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Chthoniobacter	Unclassified
6216fd40a5826b316a2481b3529f15ff	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	metagenome
ae99394607e979c6d05b156fe45bd95f	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	uncultured	uncultured_bacterium
bccbd72dc18a4ad149fffb416a05a9e0	Bacteria	Elusimicrobiota	Elusimicrobia	Lineage_IV	Lineage_IV	Lineage_IV	uncultured_bacterium
345374c55407ad0fbe6a6d3782fc59bc	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS_17	env.OPS_17	metagenome
c95e964cc2c86bc447354e2ffc0afd6c	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	Bdellovibrio_exovorus
44e2ab81e5e7cff6d965651c707b9479	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	uncultured_Niastella
de3fbe0ecfdc18b0350a6a56b6c5a484	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Unclassified
972b651b895d5a691d7b7a44b61d8163	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	Gemmata	metagenome
9446b2f91904bbc524c69d58e25edf73	Bacteria	Chloroflexi	Anaerolineae	SBR1031	SBR1031	SBR1031	uncultured_Gemmatimonadetes
b47cccc769dfc2b8a01fafe9d7e1c489	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Unclassified	Unclassified
25a5dbb68cfeb5aff5b255b15d64014b	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	uncultured	Unclassified
4b889985310b8f81745444cb47d7c12d	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus_Udaeobacter	Unclassified
702af9e944edfd5a1a7f0dce0d566376	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	Microbacteriaceae	Unclassified	Unclassified
529fea45ef457e99421eb8aa2bf1804a	Bacteria	Chloroflexi	TK10	TK10	TK10	TK10	uncultured_bacterium
cd18c50a08b056e67e68f44609a76edd	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	uncultured	Unclassified
a1d4ea124d36a3e4968aab975ba8b6cf	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatimonas	Unclassified
8562afaf3955423d4eda6d71b8b277d8	Bacteria	Acidobacteriota	Blastocatellia	Pyrinomonadales	Pyrinomonadaceae	RB41	Unclassified
174d1b1c570dd5990915a8588e7d792a	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	uncultured_bacterium
f7bc1443261b2d8ad85992bdbe7fe311	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	uncultured	Unclassified
733dc2efb5e45de37f4f455fefb51030	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Flavisolibacter	Unclassified
00b3b2150e42e194ffe3b073aea99750	Bacteria	Desulfobacterota	uncultured	uncultured	uncultured	uncultured	delta_proteobacterium
eb546d89b5ff5610cbd37c799d4e68bc	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Nostoc_PCC-73102	Unclassified
8e09caaee61bd482522f087e96e093de	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Geobacillus	Unclassified
0a403db41b0def2fadaeb309717f3ef7	Bacteria	Gemmatimonadota	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	Unclassified
83dabe1ddf95778e72f74567126490e6	Bacteria	Firmicutes	Bacilli	Paenibacillales	Paenibacillaceae	Paenibacillus	Paenibacillus_alginolyticus
89ae018aceab41a7975968bf14c6090c	Bacteria	Chloroflexi	AD3	AD3	AD3	AD3	uncultured_bacterium
9ed5a69c305cd9031b6d38bb9f375923	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Chitinophagaceae	Edaphobaculum	metagenome
57f477b7b02b74e6376eb6f62a42154e	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	uncultured	uncultured_Acidobacteria
5d6311ba6ea17efd55c635c5b2083785	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	uncultured	uncultured	Unclassified
72b95be0cce0f76839b91063fe19208a	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	Bdellovibrio_exovorus
dc8d61daf7104bb4eae59e93e6df6bc5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Pseudolabrys	Unclassified
93be33ef17f38be491c23110d2371dd6	Bacteria	Gemmatimonadota	S0134_terrestrial_group	S0134_terrestrial_group	S0134_terrestrial_group	S0134_terrestrial_group	uncultured_Gemmatimonadales
9870e4d663b4a8c9c5e04654cf62e2d7	Bacteria	Chloroflexi	Anaerolineae	SBR1031	SBR1031	SBR1031	uncultured_Gemmatimonadetes
5388d29a60ce31232943aa032947c69e	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	JG30-KF-AS9	JG30-KF-AS9	Chloroflexi_bacterium
6eb4d930b1262a3036aedf830d5b5279	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	Unclassified
a47fe9d2ebacfb4e6e443d3e273f1f7b	Bacteria	Actinobacteriota	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinomadura	Unclassified
3ef8d2337f92a292150154400bb682de	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	metagenome
fcd5e9883d687addc9384b071e8b5da1	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	metagenome
655fd60ba1dffdefd8ed5e6bcde26579	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Alcaligenaceae	Castellaniella	Unclassified
d05d891ce22b17d9b54dd9cfab978fbb	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	uncultured	Unclassified
12658308429dc1e4e48a29513291a47d	Bacteria	Chloroflexi	JG30-KF-CM66	JG30-KF-CM66	JG30-KF-CM66	JG30-KF-CM66	uncultured_bacterium
e8145e153f636e4ff96a29955b70c0a1	Bacteria	Actinobacteriota	Thermoleophilia	Solirubrobacterales	67-14	67-14	uncultured_Rubrobacteria
86c1ddd3ab9ef454a6269207d516a40d	Bacteria	Planctomycetota	Planctomycetes	Gemmatales	Gemmataceae	uncultured	uncultured_bacterium
dd01c5e5904aa112d95ba6b2ccf5093b	Bacteria	Acidobacteriota	Vicinamibacteria	Vicinamibacterales	uncultured	uncultured	Unclassified
