trt.code,amf.status,treatment,date,growth.media,rep,arm.no,no.EPN,chem.index,total.recovered,avg.recovered
AX,mycorrhizal,uninfested,09.02.20,mix,21,2,57,-0.094331641,788,131.3333333
AX,mycorrhizal,uninfested,09.02.20,mix,22,2,51,0.455284553,82,13.66666667
AX,mycorrhizal,uninfested,09.02.20,mix,23,2,15,-0.125,360,60
AX,mycorrhizal,uninfested,09.02.20,mix,24,2,57,0.143115942,184,30.66666667
AX,mycorrhizal,uninfested,09.02.20,mix,25,2,0,-0.166666667,412,68.66666667
AX,mycorrhizal,uninfested,09.02.20,mix,26,2,42,0.198550725,115,19.16666667
XS,non_mycorrhizal,soil_control,05.26.20,sand,5,4,158,0.042328042,756,126
XS,non_mycorrhizal,soil_control,05.26.20,sand,6,4,14,-0.003875969,86,14.33333333
XS,non_mycorrhizal,soil_control,05.26.20,sand,7,4,0,-0.166666667,74,12.33333333
XS,non_mycorrhizal,soil_control,05.26.20,sand,8,4,56,-0.142051282,2275,379.1666667
XS,non_mycorrhizal,soil_control,07.23.20,mix,9,6,27,-0.077850877,304,50.66666667
XS,non_mycorrhizal,soil_control,07.23.20,mix,10,6,23,-0.146561772,1144,190.6666667
XS,non_mycorrhizal,soil_control,07.23.20,mix,11,6,32,-0.019877676,218,36.33333333
XS,non_mycorrhizal,soil_control,07.23.20,mix,12,6,20,-0.160399039,3191,531.8333333
XS,non_mycorrhizal,soil_control,07.23.20,mix,13,6,15,0.333333333,30,5
XS,non_mycorrhizal,soil_control,07.23.20,mix,14,6,52,0.083333333,208,34.66666667
XS,non_mycorrhizal,soil_control,08.02.20,mix,15,6,18,-0.131917632,518,86.33333333
XS,non_mycorrhizal,soil_control,08.02.20,mix,16,6,19,-0.112380952,350,58.33333333
XS,non_mycorrhizal,soil_control,08.02.20,mix,17,6,10,-0.072327044,106,17.66666667
XS,non_mycorrhizal,soil_control,08.02.20,mix,18,6,17,-0.114197531,324,54
XS,non_mycorrhizal,soil_control,08.02.20,mix,19,6,27,-0.041666667,216,36
XS,non_mycorrhizal,soil_control,08.02.20,mix,20,6,12,-0.073643411,129,21.5
XS,non_mycorrhizal,soil_control,09.02.20,mix,21,6,48,-0.105752961,788,131.3333333
XS,non_mycorrhizal,soil_control,09.02.20,mix,22,6,5,-0.105691057,82,13.66666667
XS,non_mycorrhizal,soil_control,09.02.20,mix,23,6,156,0.266666667,360,60
XS,non_mycorrhizal,soil_control,09.02.20,mix,24,6,28,-0.014492754,184,30.66666667
XS,non_mycorrhizal,soil_control,09.02.20,mix,25,6,3,-0.159385113,412,68.66666667
XS,non_mycorrhizal,soil_control,09.02.20,mix,26,6,3,-0.14057971,115,19.16666667
XW,non_mycorrhizal,wcr_infested,05.26.20,sand,5,6,272,0.193121693,756,126
XW,non_mycorrhizal,wcr_infested,05.26.20,sand,6,6,5,-0.108527132,86,14.33333333
XW,non_mycorrhizal,wcr_infested,05.26.20,sand,7,6,5,-0.099099099,74,12.33333333
XW,non_mycorrhizal,wcr_infested,05.26.20,sand,8,6,2125,0.767399267,2275,379.1666667
XW,non_mycorrhizal,wcr_infested,07.23.20,mix,9,4,3,-0.156798246,304,50.66666667
XW,non_mycorrhizal,wcr_infested,07.23.20,mix,10,4,63,-0.111596737,1144,190.6666667
XW,non_mycorrhizal,wcr_infested,07.23.20,mix,11,4,11,-0.116207951,218,36.33333333
XW,non_mycorrhizal,wcr_infested,07.23.20,mix,12,4,109,-0.132508096,3191,531.8333333
XW,non_mycorrhizal,wcr_infested,07.23.20,mix,13,4,0,-0.166666667,30,5
XW,non_mycorrhizal,wcr_infested,07.23.20,mix,14,4,3,-0.15224359,208,34.66666667
XW,non_mycorrhizal,wcr_infested,08.02.20,mix,15,4,319,0.449163449,518,86.33333333
XW,non_mycorrhizal,wcr_infested,08.02.20,mix,16,4,9,-0.140952381,350,58.33333333
XW,non_mycorrhizal,wcr_infested,08.02.20,mix,17,4,13,-0.044025157,106,17.66666667
XW,non_mycorrhizal,wcr_infested,08.02.20,mix,18,4,228,0.537037037,324,54
XW,non_mycorrhizal,wcr_infested,08.02.20,mix,19,4,37,0.00462963,216,36
XW,non_mycorrhizal,wcr_infested,08.02.20,mix,20,4,31,0.073643411,129,21.5
XW,non_mycorrhizal,wcr_infested,09.02.20,mix,21,4,26,-0.133671743,788,131.3333333
XW,non_mycorrhizal,wcr_infested,09.02.20,mix,22,4,1,-0.154471545,82,13.66666667
XW,non_mycorrhizal,wcr_infested,09.02.20,mix,23,4,28,-0.088888889,360,60
XW,non_mycorrhizal,wcr_infested,09.02.20,mix,24,4,17,-0.074275362,184,30.66666667
XW,non_mycorrhizal,wcr_infested,09.02.20,mix,25,4,0,-0.166666667,412,68.66666667
XW,non_mycorrhizal,wcr_infested,09.02.20,mix,26,4,62,0.372463768,115,19.16666667
XX,non_mycorrhizal,uninfested,05.26.20,sand,5,5,101,-0.033068783,756,126
XX,non_mycorrhizal,uninfested,05.26.20,sand,6,5,66,0.600775194,86,14.33333333
XX,non_mycorrhizal,uninfested,05.26.20,sand,7,5,34,0.292792793,74,12.33333333
XX,non_mycorrhizal,uninfested,05.26.20,sand,8,5,27,-0.154798535,2275,379.1666667
